,Date Event Began,state
549,2010-01-28,Oklahoma
550,2002-01-30,Oklahoma
551,2002-01-29,Kansas
552,2002-01-30,Missouri
553,2002-11-17,Connecticut
554,2002-12-03,Arkansas
555,2003-04-03,Michigan
556,2004-01-26,South Carolina
557,2004-01-26,Georgia
558,2004-01-26,North Carolina
559,2004-01-26,South Carolina
560,2004-01-28,Maryland
561,2004-02-05,Maryland
562,2004-02-05,Pennsylvania
563,2004-02-05,Virginia
564,2004-02-05,West Virginia
565,2005-01-29,Alabama
566,2005-01-29,Georgia
567,2005-01-29,Georgia
568,2005-12-15,North Carolina
569,2005-12-15,South Carolina
570,2005-12-15,Georgia
571,2007-01-13,Illinois
572,2007-01-13,Missouri
573,2007-01-13,Michigan
574,2007-02-24,Illinois
575,2007-02-24,Iowa
576,2007-02-24,Iowa
577,2007-02-24,Iowa
578,2007-12-10,Oklahoma
579,2007-12-11,Kansas
580,2006-11-30,Illinois
581,2006-11-30,Missouri
582,2008-02-13,Maine
583,2008-12-11,New York
584,2008-12-12,New York
585,2008-12-12,Maine
586,2008-12-19,Indiana
587,2008-12-19,Michigan
588,2008-12-19,Ohio
589,2008-12-19,Indiana
590,2009-01-27,Kentucky
591,2009-01-27,Indiana
592,2009-01-27,Kentucky
593,2009-01-27,Arkansas
594,2009-01-27,Arkansas
595,2009-01-28,Kentucky
596,2009-01-28,Indiana
597,2009-01-28,Kentucky
598,2009-01-28,Tennessee
599,2011-01-31,Indiana
600,2011-01-31,Ohio
601,2010-02-01,Oklahoma
602,2009-01-28,Indiana
603,2009-01-28,Kentucky
604,2009-01-28,Ohio
605,2009-02-23,Maine
606,2007-02-13,Indiana
607,2007-02-13,Ohio
608,2006-02-18,Colorado
609,2004-03-08,California
610,2008-07-22,New Mexico
611,2008-07-22,Texas
612,2010-09-27,California
613,2010-01-11,Florida
614,2003-05-15,Texas
615,2002-02-27,California
616,2002-07-09,California
617,2002-08-02,Illinois
618,2002-08-09,Florida
619,2002-08-25,California
620,2002-07-19,California
621,2016-02-13,California
622,2016-05-08,Washington
623,2016-08-24,Washington
624,2016-08-31,Washington
625,2016-09-06,Washington
626,2016-09-08,Washington
627,2016-10-28,California
628,2008-12-26,Hawaii
629,2008-06-22,Indiana
630,2008-05-27,Connecticut
631,2008-06-04,Maryland
632,2008-06-04,Washington
633,2008-06-06,Michigan
634,2006-07-18,Connecticut
635,2005-04-22,California
636,2006-05-19,California
637,2004-02-17,California
638,2008-12-09,New Jersey
639,2006-07-19,Arkansas
640,2011-07-13,Colorado
641,2011-07-22,Ohio
642,2012-01-09,Louisiana
643,2012-01-10,Texas
644,2012-06-08,Colorado
645,2012-06-23,Massachusetts
646,2012-12-06,California
647,2013-12-04,Idaho
648,2013-12-04,Utah
649,2013-09-10,Pennsylvania
650,2013-06-17,Florida
651,2011-06-06,New Mexico
652,2011-06-06,Texas
653,2006-04-17,Texas
654,2006-04-17,Texas
655,2006-04-17,Texas
656,2009-12-08,California
657,2006-04-17,Texas
658,2012-05-07,Ohio
659,2004-06-23,Idaho
660,2007-06-05,Idaho
661,2007-06-05,Oregon
662,2007-10-26,California
663,2008-02-14,Utah
664,2008-05-08,California
665,2008-10-02,Louisiana
666,2008-11-07,California
667,2008-11-07,California
668,2008-12-26,California
669,2014-04-23,Louisiana
670,2014-07-24,California
671,2008-05-30,Louisiana
672,2013-08-01,Florida
673,2013-06-13,District of Columbia
674,2013-06-13,Maryland
675,2007-06-27,New York
676,2013-04-16,California
677,2009-07-28,Utah
678,2013-11-12,New Mexico
679,2010-07-07,Pennsylvania
680,2010-09-20,Virginia
681,2010-06-17,Louisiana
682,2010-06-17,Louisiana
683,2010-06-17,Louisiana
684,2007-08-08,North Carolina
685,2007-08-08,South Carolina
686,2007-08-09,North Carolina
687,2007-08-09,South Carolina
688,2007-08-10,North Carolina
689,2007-08-10,South Carolina
690,2010-05-26,Maryland
691,2010-05-26,Pennsylvania
692,2010-05-26,Virginia
693,2010-05-26,West Virginia
694,2010-06-22,Arkansas
695,2010-01-06,Louisiana
696,2010-07-23,Utah
697,2010-08-02,Louisiana
698,2010-08-02,Louisiana
699,2010-08-02,Louisiana
700,2010-08-02,Louisiana
701,2010-08-04,New Mexico
702,2010-08-04,Texas
703,2010-08-12,Nebraska
704,2010-08-12,Wisconsin
705,2006-08-01,Indiana
706,2006-08-01,Kentucky
707,2006-08-01,Ohio
708,2006-08-07,Oklahoma
709,2009-03-03,Virginia
710,2009-06-24,Louisiana
711,2009-07-07,Texas
712,2009-07-14,Louisiana
713,2009-07-15,Louisiana
714,2009-07-16,Louisiana
715,2009-08-31,California
716,2006-08-01,Ohio
717,2006-02-11,Maryland
718,2006-02-12,Washington
719,2007-03-01,Alabama
720,2007-03-01,Florida
721,2007-03-01,Georgia
722,2007-03-01,Mississippi
723,2008-03-15,Alabama
724,2008-03-15,Georgia
725,2011-02-17,California
726,2011-02-19,Pennsylvania
727,2011-03-19,California
728,2011-03-20,California
729,2011-03-21,California
730,2011-03-23,Indiana
731,2011-03-23,Kentucky
732,2011-03-23,Michigan
733,2011-03-23,Ohio
734,2011-03-23,Tennessee
735,2011-03-23,Virginia
736,2011-03-23,West Virginia
737,2007-07-10,New York
738,2007-07-19,Virginia
739,2006-04-02,Indiana
740,2011-06-30,Arizona
741,2004-10-28,California
742,2004-08-20,Massachusetts
743,2003-11-13,Washington
744,2007-01-16,Washington
745,2021-07-04,Washington
746,2020-03-18,Utah
747,2020-09-07,Washington
748,2020-09-09,Idaho
749,2020-09-27,California
750,2018-07-26,California
751,2018-07-29,California
752,2018-08-07,California
753,2018-08-07,California
754,2018-09-22,California
755,2018-10-14,California
756,2018-08-31,Oregon
757,2018-11-08,California
758,2014-08-23,Illinois
